34,811,729
34,818,209
34,604,969
34,375,838
34,124,888
33,901,617
33,696,145
33,468,153
33,247,322
32,970,821
32,765,775
32,554,524
32,310,854
32,140,087
31,914,615
31,655,015
31,382,441
31,166,242
30,944,704
30,733,120
30,500,926
30,249,318
30,020,610
29,810,104
29,591,484
29,311,810
29,111,090
28,923,993
28,637,429
28,447,197
28,216,423
27,940,496
27,753,403
27,508,827
27,294,594
27,060,183
26,829,441
26,591,439
26,405,811
26,147,012
25,922,809
25,680,298
25,466,427
25,225,431
24,993,739
24,746,671
24,536,840
24,295,812
23,830,234
23,547,400
23,325,532
23,105,525
22,916,293
22,673,951
22,458,787
22,190,859
22,004,773
21,782,698
21,551,438
21,304,446
21,081,051
20,838,984
20,633,921
20,392,910
20,168,101
19,943,232
19,722,394
19,461,981
19,237,801
19,011,952
18,795,379
18,551,857
18,319,913
18,089,867
17,786,237
17,508,511
17,275,913
17,050,714
16,810,770
16,572,118
16,321,887
16,074,072
15,852,298
15,614,642
15,338,872
15,052,505
14,823,347
14,355,215
13,923,730
13,488,737
12,755,589
12,133,900
11,116,088
10,131,145
8,783,983
7,678,808
6,346,642
5,002,277
2,995,980
884,210
374,614
